id	label	parent	source
cs267	Emphatic Negation Subjunctive	cs264	merged
cs268	Prohibitive Subjunctive	cs264	merged
cs269	Subjunctive in Conditional Sentences	cs264	merged
cs270	ἵνα + Subjunctive	cs264	merged
cs271	Purpose	cs270	merged
cs272	Result	cs270	merged
cs273	Purpose-Result	cs270	merged
cs274	Subject	cs270	merged
cs275	Predicate Nominative	cs270	merged
cs276	Direct Object	cs270	merged
cs277	Apposition	cs270	merged
cs278	Epexegetical	cs270	cheatsheet
cs279	Complementary	cs270	merged
cs280	Imperatival	cs270	cheatsheet
cs281	Subjunctive with Verbs of Fearing	cs264	merged
cs282	Subjunctive in Indirect Questions	cs264	merged
cs283	Subjunctive in Indefinite Relative Clause	cs264	merged
cs284	Subjunctive in Indefinite Temporal Clause	cs264	merged
cs285	Optative Mood		merged
cs286	Voluntative Optative (Obtainable Wish)	cs285	merged
cs287	Oblique Optative	cs285	merged
cs288	Potential Optative	cs285	merged
cs289	Conditional Optative	cs285	merged
cs290	Imperative Mood		merged
cs291	Command	cs290	merged
cs292	Prohibition	cs290	cheatsheet
cs293	Request (Entreaty)	cs290	merged
cs294	Permissive Imperative (Toleration)	cs290	cheatsheet
cs295	Conditional Imperative	cs290	merged
cs296	Potential Imperative	cs290	cheatsheet
cs297	Pronouncement Imperative	cs290	merged
cs298	Stereotyped Greeting	cs290	merged
cs299	Present Tense		merged
cs300	Instantaneous Present	cs299	merged
cs301	Progressive Present	cs299	merged
cs302	Extending-From-Past Present	cs299	merged
cs303	Futuristic Present	cs299	merged
cs304	Completely Futuristic	cs303	cheatsheet
cs305	Mostly Futuristic	cs303	cheatsheet
cs306	Present Retained in Indirect Discourse	cs299	merged
cs307	Iterative Present	cs299	merged
cs308	Customary Present	cs299	merged
cs309	Gnomic Present	cs299	merged
cs310	Historical Present	cs299	merged
cs311	Perfective Present	cs299	merged
cs312	Conative Present	cs299	merged
cs313	In Progress, but not Complete	cs312	cheatsheet
cs314	Not Begun, but About/Desired to be Attempted	cs312	cheatsheet
cs315	Imperfect Tense		merged
cs316	Instantaneous Imperfect	cs315	merged
cs317	Progressive (Descriptive) Imperfect	cs315	merged
cs318	Ingressive Imperfect	cs315	merged
cs319	Iterative Imperfect	cs315	merged
cs320	Customary Imperfect	cs315	merged
cs321	"""Pluperfective"" Imperfect"	cs315	merged
cs322	Conative Imperfect	cs315	merged
cs323	In Progress, but not Complete	cs322	cheatsheet
cs324	Not Begun, but About/Desired to be Attempted	cs322	cheatsheet
cs325	Imperfect Retained in Indirect Discourse	cs315	merged
cs326	Aorist Tense		merged
cs327	Constative Aorist	cs326	merged
cs328	Ingressive Aorist	cs326	merged
cs329	Consummative Aorist	cs326	merged
cs330	Gnomic Aorist	cs326	cheatsheet
cs331	Epistolary Aorist	cs326	merged
cs332	Proleptic Aorist	cs326	merged
cs333	Immediate Past/Dramatic Aorist	cs326	merged
cs334	Future Tense		merged
cs335	Predictive Future	cs334	merged
cs336	Imperatival Future	cs334	merged
cs337	Deliberative Future	cs334	merged
cs338	Gnomic Future	cs334	merged
cs339	Miscellaneous Subjunctive Equivalents	cs334	merged
cs340	Perfect Tense		merged
cs341	Intensive Perfect (Resultative)	cs340	merged
cs342	Extensive Perfect (Consummative)	cs340	merged
cs343	Aoristic (Dramatic, Historical) Perfect	cs340	merged
cs344	Perfect with Present Force	cs340	merged
cs345	Gnomic Perfect	cs340	merged
cs346	Proleptic Perfect	cs340	merged
cs347	Perfect of Allegory	cs340	merged
cs348	Pluperfect Tense		merged
cs349	Intensive Pluperfect (Resultative)	cs348	merged
cs350	Extensive Pluperfect (Consummative)	cs348	cheatsheet
cs351	Simple Past Pluperfect	cs348	cheatsheet
cs352	Infinitive		merged
cs353	Adverbial Uses	cs352	merged
cs354	Purpose	cs353	merged
cs355	Result	cs353	merged
cs356	Time: Antecedent	cs353	merged
cs357	Time: Contemporaneous	cs353	merged
cs358	Time: Subsequent	cs353	merged
cs359	Cause	cs353	merged
cs360	Means	cs353	merged
cs361	Complementary (Supplementary)	cs352	merged
cs362	Substantival	cs352	merged
cs363	Subject	cs362	merged
cs364	Direct Object	cs362	merged
cs365	Indirect Discourse	cs362	merged
cs366	Appositional	cs362	merged
cs367	Epexegetical	cs362	merged
cs368	Independent	cs352	merged
cs369	Imperatival	cs368	merged
cs370	Absolute	cs368	merged
cs371	Participle		merged
cs372	Adjectival Participles	cs371	merged
cs373	Adjectival Proper	cs372	cheatsheet
cs374	Attributive	cs372	merged
cs375	Predicate	cs372	merged
cs376	Substantival	cs372	merged
cs377	Verbal Participles: Dependent Verbal	cs371	merged
cs378	Temporal	cs377	merged
cs379	Manner	cs377	merged
cs380	Means	cs377	merged
cs381	Cause	cs377	merged
cs382	Condition	cs377	merged
cs383	Concession	cs377	merged
cs384	Purpose	cs377	merged
cs385	Result	cs377	merged
cs386	Attendant Circumstance	cs377	merged
cs387	Indirect Discourse	cs377	merged
cs388	Complementary	cs377	merged
cs389	Periphrastic	cs377	merged
cs390	Redundant (Pleonastic)	cs377	merged
cs391	Verbal Participles: Independent Verbal	cs371	merged
cs392	Imperatival	cs391	merged
cs393	Indicative	cs391	merged
cs394	Participle Absolute	cs391	merged
cs395	Clauses		merged
cs396	Nominative Absolute	cs395	cheatsheet
cs397	Genitive Absolute	cs395	cheatsheet
cs398	Clauses (in General)	cs395	cheatsheet
cs399	Independent Clauses	cs398	merged
cs400	Dependent Clauses	cs398	cheatsheet
cs401	Substantival	cs398	merged
cs402	Adjectival	cs398	merged
cs403	Adverbial	cs398	merged
cs404	Conjunctions		merged
cs405	Logical Functions	cs404	merged
cs406	Ascensive	cs405	merged
cs407	Connective	cs405	merged
cs408	Contrastive (Adversative)	cs405	merged
cs409	Correlative	cs405	merged
cs410	Disjunctive (Alternative)	cs405	merged
cs411	Emphatic	cs405	merged
cs412	Explanatory	cs405	merged
cs413	Inferential	cs405	merged
cs414	Transitional	cs405	merged
cs415	Adverbial Functions	cs404	merged
cs416	Causal	cs415	merged
cs417	Comparative (Manner)	cs415	merged
cs418	Conditional	cs415	merged
cs419	Local (Sphere)	cs415	merged
cs420	Purpose	cs415	merged
cs421	Result	cs415	merged
cs422	Temporal	cs415	merged
